Unnamed: 0,lat,lon,time,cloud cover mean,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
0,-2.75,29.25,2015-01-01,0.80312383,8.7573795e-08,24.84847000000002,15.216700000000005,19.648950000000013,993.5051
1136,-2.75,29.25,2015-02-01,0.82662094,1.0355712e-07,25.29278000000005,15.368340000000046,19.803,986.69684
1717,-2.75,29.25,2015-03-01,0.78892606,7.3312414e-08,25.135220000000004,15.23458000000005,20.059200000000036,994.002
1799,-2.75,29.25,2015-04-01,0.8881266,1.0342052e-07,23.98013000000003,15.278560000000027,19.188900000000046,1025.103
2337,-2.75,29.25,2015-05-01,0.74298966,4.8602857e-08,23.987240000000043,14.747130000000029,19.225430000000017,997.18805
3055,-2.75,29.25,2015-06-01,0.7187822,1.8868182e-08,24.25060000000002,14.416560000000004,18.9683,962.475
3481,-2.75,29.25,2015-07-01,0.46967041,2.1419104e-09,24.16503,13.988950000000044,18.796870000000013,909.5089
4558,-2.75,29.25,2015-08-01,0.51640815,7.366923e-09,25.15957000000003,14.740530000000035,19.461360000000013,903.29236
5092,-2.75,29.25,2015-09-01,0.6451999,1.2824897e-08,25.831000000000017,16.013059999999996,20.734460000000013,910.8207
5731,-2.75,29.25,2015-10-01,0.86981213,7.018021e-08,24.52460000000002,15.54812000000004,19.431020000000046,981.18945
6015,-2.75,29.25,2015-11-01,0.88190967,8.333532e-08,23.68673000000001,15.44073000000003,19.162130000000047,995.26575
6739,-2.75,29.25,2015-12-01,0.8755937,1.1464736e-07,24.640900000000045,15.100120000000004,19.32195000000001,987.4318
7373,-2.75,29.25,2016-01-01,0.7755337,9.301088e-08,24.422600000000045,15.33474000000001,19.688930000000028,996.8429
7956,-2.75,29.25,2016-02-01,0.83728445,7.9763446e-08,25.045280000000048,15.632040000000018,19.943020000000047,987.46014
8107,-2.75,29.25,2016-03-01,0.87382185,6.8926845e-08,24.406980000000036,15.80227000000002,19.88190000000003,1001.51385
9088,-2.75,29.25,2016-04-01,0.90022486,8.526901e-08,23.810720000000003,15.280240000000047,19.406270000000006,1017.3466
9650,-2.75,29.25,2016-05-01,0.7330119,4.727809e-08,23.93978000000004,15.345180000000028,19.26516000000004,999.539
9904,-2.75,29.25,2016-06-01,0.70410866,1.3500908e-08,24.37243000000001,14.88354000000004,19.284170000000017,959.9656
10545,-2.75,29.25,2016-07-01,0.49637163,4.6433595e-09,24.634550000000047,14.14984000000004,19.18276000000003,933.6317
11349,-2.75,29.25,2016-08-01,0.6039585,1.1772766e-08,25.14968000000005,15.24642,19.94268,924.1737
11631,-2.75,29.25,2016-09-01,0.70747364,2.430153e-08,26.26986000000005,15.74218000000002,20.60226,939.0706
12623,-2.75,29.25,2016-10-01,0.8969973,8.675141e-08,25.27065000000005,15.55654000000004,19.401820000000043,985.18835
13082,-2.75,29.25,2016-11-01,0.8749182,7.157221e-08,24.368370000000027,15.733820000000035,19.568600000000004,984.8895
13488,-2.75,29.25,2016-12-01,0.8556109,1.4573445e-07,23.368100000000027,14.813620000000014,18.685360000000003,983.59784
13969,-2.75,29.25,2017-01-01,0.89168274,1.2882649e-07,24.51165000000003,15.335170000000003,19.4486,999.48474
14546,-2.75,29.25,2017-02-01,0.8284297,1.0422644e-07,24.730200000000025,15.491720000000043,19.80352000000005,988.5557
15521,-2.75,29.25,2017-03-01,0.843601,7.604221e-08,24.854100000000017,15.683950000000038,20.076900000000023,1015.22675
15893,-2.75,29.25,2017-04-01,0.86880165,9.496935e-08,24.10650000000004,15.322660000000042,19.275350000000003,1017.0684
16248,-2.75,29.25,2017-05-01,0.7563931,6.236807e-08,24.03460000000001,14.985250000000008,18.93655000000001,1006.6136
16768,-2.75,29.25,2017-06-01,0.6972002,2.0913449e-09,23.783500000000004,14.636250000000018,18.94897000000003,962.041
17629,-2.75,29.25,2017-07-01,0.620437,2.7722542e-09,24.298820000000035,14.489160000000028,18.97860000000003,938.18994
18062,-2.75,29.25,2017-08-01,0.64768,2.2009058e-08,25.07310000000001,14.875969999999995,19.50280000000004,938.841
18638,-2.75,29.25,2017-09-01,0.6882794,3.3227458e-08,25.74014,15.429400000000044,20.17855000000003,938.87177
19107,-2.75,29.25,2017-10-01,0.8160702,4.840972e-08,25.222470000000044,15.635520000000042,20.018460000000005,964.7267
19934,-2.75,29.25,2017-11-01,0.8793138,1.0081567e-07,24.28814,15.334950000000047,19.24444,989.9779
20625,-2.75,29.25,2017-12-01,0.83930355,1.15581635e-07,24.398500000000013,15.154629999999996,19.13670000000002,984.48566
21065,-2.75,29.25,2018-01-01,0.79323196,7.749371e-08,24.455560000000048,15.08960000000002,19.690240000000017,990.18567
21451,-2.75,29.25,2018-02-01,0.77307445,5.6414095e-08,25.457100000000025,15.313500000000031,19.8211,985.9965
22244,-2.75,29.25,2018-03-01,0.91520965,1.4609576e-07,24.69598000000002,14.917630000000033,19.37220000000002,1004.3874
22580,-2.75,29.25,2018-04-01,0.8534923,1.1636117e-07,23.819450000000018,14.662740000000042,18.52776,986.71747
23033,-2.75,29.25,2018-05-01,0.6886936,3.4766657e-08,23.97112000000004,15.092430000000036,19.10452000000004,988.455
23830,-2.75,29.25,2018-06-01,0.5446154,2.8740565e-11,24.269740000000013,14.48248000000001,18.926140000000032,905.87885
24486,-2.75,29.25,2018-07-01,0.5975536,1.05381215e-08,24.273650000000032,14.115170000000036,18.84417000000002,914.61365
24783,-2.75,29.25,2018-08-01,0.5723369,0.0,25.193230000000028,14.94998000000004,19.756460000000004,884.1214
25481,-2.75,29.25,2018-09-01,0.7432681,3.8192773e-08,25.590000000000032,14.212030000000029,19.68887000000001,934.24005
26269,-2.75,29.25,2018-10-01,0.8469292,5.9021172e-08,24.20876000000004,15.333370000000002,19.283560000000023,979.8168
26627,-2.75,29.25,2018-11-01,0.8493661,6.4380494e-08,23.996759999999995,15.12948,19.13250000000005,983.276
27436,-2.75,29.25,2018-12-01,0.83976346,7.796218e-08,24.48785000000004,15.08540000000005,19.40087,986.06415
28074,-2.75,29.25,2019-01-01,0.8941057,1.1414514e-07,24.707150000000013,15.313649999999996,19.47802000000001,993.202
28720,-2.75,29.25,2019-02-01,0.85715014,7.184898e-08,24.70666,15.484740000000045,19.88244000000003,981.98444
28814,-2.75,29.25,2019-03-01,0.826846,7.766913e-08,24.65423000000004,15.626760000000049,19.702420000000014,1001.3671
29352,-2.75,29.25,2019-04-01,0.8820899,1.18873224e-07,23.702420000000014,14.890070000000035,18.840450000000036,1014.2221
30441,-2.75,29.25,2019-05-01,0.78178746,6.8444436e-08,24.157830000000047,15.238980000000026,19.09847000000002,1008.4201
30566,-2.75,29.25,2019-06-01,0.5654221,9.75479e-09,24.157129999999995,14.397100000000025,19.07220000000001,959.6659
31260,-2.75,29.25,2019-07-01,0.63515097,0.0,24.301600000000008,14.184470000000031,18.93606,927.651
32026,-2.75,29.25,2019-08-01,0.62186784,7.1249833e-09,25.20430000000005,15.00150000000002,19.855200000000025,929.24585
32251,-2.75,29.25,2019-09-01,0.6800869,1.6808281e-08,25.79666000000003,16.06313,20.746200000000044,916.9059
33277,-2.75,29.25,2019-10-01,0.82371366,5.2894425e-08,24.464800000000025,15.474270000000049,19.782700000000037,968.588
33666,-2.75,29.25,2019-11-01,0.884206,1.0663355e-07,24.43798000000004,15.354030000000025,19.19518000000005,990.4652
34445,-2.75,29.25,2019-12-01,0.7881216,1.0455188e-07,24.442620000000037,15.266400000000033,19.47057000000001,987.4515
35026,-2.75,29.25,2020-01-01,0.77437246,7.8041026e-08,24.767,15.367670000000032,19.93652000000003,1013.4955
35646,-2.75,29.25,2020-02-01,0.816717,8.4048196e-08,25.33074000000005,15.627700000000004,20.03020000000004,1002.4289
35848,-2.75,29.25,2020-03-01,0.8812588,8.234793e-08,24.888570000000016,15.786580000000017,19.96646000000004,1066.1333
36469,-2.75,29.25,2020-04-01,0.82246643,8.099706e-08,24.23583000000002,15.617060000000038,19.670770000000005,1038.6824
37035,-2.75,29.25,2020-05-01,0.7787252,5.3062223e-08,24.063300000000027,15.266400000000033,19.374630000000025,1018.9847
37816,-2.75,29.25,2020-06-01,0.60743815,4.981535e-10,24.32253000000003,14.78000000000003,19.139400000000023,961.8462
38257,-2.75,29.25,2020-07-01,0.5725431,0.0,24.544430000000037,14.46288000000004,19.14727000000005,888.3732
39015,-2.75,29.25,2020-08-01,0.56892943,0.0,25.42007000000001,15.192830000000017,20.04003,916.946
39538,-2.75,29.25,2020-09-01,0.70527107,1.01659925e-08,26.17745000000002,16.224050000000034,21.06725,944.6158
40110,-2.75,29.25,2020-10-01,0.7932128,2.982308e-08,25.64315000000005,15.486720000000048,20.768950000000014,951.0228
40445,-2.75,29.25,2020-11-01,0.86590844,6.812881e-08,25.21923000000004,15.123440000000016,19.50244000000004,999.14404
40906,-2.75,29.25,2020-12-01,0.7954397,8.619376e-08,24.935100000000038,15.292470000000035,19.51507000000004,1002.6209
41438,-2.75,29.25,2021-01-01,0.8839502,1.01672285e-07,24.406980000000036,15.35922000000005,19.53747000000004,1010.496
42485,-2.75,29.25,2021-02-01,0.83692515,8.990919e-08,24.84400000000005,15.582400000000009,19.94800000000004,1001.05853
42755,-2.75,29.25,2021-03-01,0.8691084,7.727487e-08,24.86083000000002,15.55242000000004,19.80840000000001,1013.59
43277,-2.75,29.25,2021-04-01,0.8884559,1.0863051e-07,24.067350000000037,15.15220000000005,18.994100000000003,1027.9788
44060,-2.75,29.25,2021-05-01,0.7107795,5.253178e-08,23.826040000000035,15.065850000000012,18.91998000000001,1016.8005
44669,-2.75,29.25,2021-06-01,0.52074045,3.5133407e-09,23.662800000000004,14.08453000000003,18.46758,939.3591
45011,-2.75,29.25,2021-07-01,0.51932853,0.0,24.204800000000034,13.734920000000043,18.52764000000002,838.5258
45719,-2.75,29.25,2021-08-01,0.7018092,7.929977e-09,25.35717,15.314360000000022,19.743520000000046,936.82666
46155,-2.75,29.25,2021-09-01,0.74266815,4.059884e-08,25.743370000000027,13.58892000000003,19.48977000000002,951.2104
47075,-2.75,29.25,2021-10-01,0.83577496,5.500169e-08,24.433370000000025,15.117460000000053,19.560540000000003,985.9177
47597,-2.75,29.25,2021-11-01,0.85907143,7.492153e-08,24.16396000000003,15.11596000000003,19.18853000000001,997.5658
48186,-2.75,29.25,2021-12-01,0.78765416,6.306849e-08,24.74490000000003,15.296750000000031,19.6814,1001.4572
48323,-2.75,29.25,2022-01-01,0.80907094,8.597005e-08,24.78613000000001,15.27493000000004,19.77087,1006.91235
49418,-2.75,29.25,2022-02-01,0.8689322,9.0858585e-08,24.705160000000035,15.61790000000002,19.84722000000005,1007.4228
49519,-2.75,29.25,2022-03-01,0.85674715,8.83388e-08,25.107780000000048,15.775230000000022,19.814970000000017,1019.37616
