Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2021","2021","1000 US$","18","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","21435.01","Apple juice","2021","2021","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01341","Apples","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01343","Apricots","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01211","Asparagus","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01311","Avocados","2021","2021","1000 US$","2713","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01708","Bambara beans, dry","2021","2021","1000 US$","448","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01312","Bananas","2021","2021","1000 US$","203","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01701","Beans, dry","2021","2021","1000 US$","1758","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","F0875","beef and veal preparations nes","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","24310.01","Beer of barley, malted","2021","2021","1000 US$","2877","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","02960.01","Beeswax","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","39120.04","Bran of maize","2021","2021","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","39120.14","Bran of pulses","2021","2021","1000 US$","17800","E","Estimated value"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","39120.01","Bran of wheat","2021","2021","1000 US$","4835","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","F0020","Bread","2021","2021","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","23140.03","Breakfast cereals","2021","2021","1000 US$","233","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01192","Buckwheat","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","22241.01","Butter of cow milk","2021","2021","1000 US$","30","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","2021","2021","1000 US$","51","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01212","Cabbages","2021","2021","1000 US$","38","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","21910.03","Cake of  soya beans","2021","2021","1000 US$","303","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","21397.01","Canned mushrooms","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01251","Carrots and turnips","2021","2021","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","21424","Cashew nuts, shelled","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01520.02","Cassava, dry","2021","2021","1000 US$","931","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","02111","Cattle","2021","2021","1000 US$","8029","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01213","Cauliflowers and broccoli","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","23140.08","Cereal preparations","2021","2021","1000 US$","70","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","22251.01","Cheese from whole cow milk","2021","2021","1000 US$","87","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","02151","Chickens","2021","2021","1000 US$","766","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","1000 US$","227","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 US$","695","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","F0666","Chocolate products nes","2021","2021","1000 US$","141","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","24230.03","Cider and other fermented beverages","2021","2021","1000 US$","583","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","25020.01","Cigarettes","2021","2021","1000 US$","271","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01655","Cinnamon and cinnamon-tree flowers, raw","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01656","Cloves (whole stems), raw","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","F0665","Cocoa powder and cake","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","2166","Coconut oil","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","21429.07","Coconuts, desiccated","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","01460","Coconuts, in shell","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","23912.02","Coffee extracts","2021","2021","1000 US$","41","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","23912.01","Coffee substitutes","2021","2021","1000 US$","2854","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5922","Export Value","23911","Coffee, decaffeinated or roasted","2021","2021","1000 US$","1282","A","Official figure"
