Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01371","Almonds, in shell","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21422","Almonds, shelled","2021","2021","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21529.03","Animal oils and fats n.e.c.","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2021","2021","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","1000 US$","18","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21435.01","Apple juice","2021","2021","1000 US$","399","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01341","Apples","2021","2021","1000 US$","935","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21419.01","Apricots, dried","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01379.01","Areca nuts","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01312","Bananas","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0115","Barley","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01701","Beans, dry","2021","2021","1000 US$","1372","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0875","beef and veal preparations nes","2021","2021","1000 US$","461","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24310.01","Beer of barley, malted","2021","2021","1000 US$","4217","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02960.01","Beeswax","2021","2021","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39149.01","Beet pulp","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39120.13","Bran of cereals n.e.c.","2021","2021","1000 US$","1407","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39120.04","Bran of maize","2021","2021","1000 US$","62","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39120.01","Bran of wheat","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01377","Brazil nuts, in shell","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21429.01","Brazil nuts, shelled","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0020","Bread","2021","2021","1000 US$","62","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23140.03","Breakfast cereals","2021","2021","1000 US$","523","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01702","Broad beans and horse beans, dry","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22241.01","Butter of cow milk","2021","2021","1000 US$","107","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22230.03","Buttermilk, curdled and acidified milk","2021","2021","1000 US$","21","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01212","Cabbages","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.03","Cake of  soya beans","2021","2021","1000 US$","7202","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.15","Cake of cottonseed","2021","2021","1000 US$","781","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.06","Cake of palm kernel","2021","2021","1000 US$","48","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.07","Cake of sunflower seed","2021","2021","1000 US$","1272","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.90","Cake, oilseeds nes","2021","2021","1000 US$","39","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23511.02","Cane sugar, non-centrifugal","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21397.01","Canned mushrooms","2021","2021","1000 US$","46","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01372","Cashew nuts, in shell","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21424","Cashew nuts, shelled","2021","2021","1000 US$","71","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01520.02","Cassava, dry","2021","2021","1000 US$","12106","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23140.08","Cereal preparations","2021","2021","1000 US$","11","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01199.90","Cereals n.e.c.","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22251.01","Cheese from whole cow milk","2021","2021","1000 US$","188","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01373","Chestnuts, in shell","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01703","Chick peas, dry","2021","2021","1000 US$","17","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02151","Chickens","2021","2021","1000 US$","704","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","1000 US$","30","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0666","Chocolate products nes","2021","2021","1000 US$","1008","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24230.03","Cider and other fermented beverages","2021","2021","1000 US$","389","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","25020.01","Cigarettes","2021","2021","1000 US$","3400","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","25020.02","Cigars and cheroots","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01655","Cinnamon and cinnamon-tree flowers, raw","2021","2021","1000 US$","26","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01656","Cloves (whole stems), raw","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01640","Cocoa beans","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23620","Cocoa butter, fat and oil","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0665","Cocoa powder and cake","2021","2021","1000 US$","48","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","2166","Coconut oil","2021","2021","1000 US$","62","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21429.07","Coconuts, desiccated","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01460","Coconuts, in shell","2021","2021","1000 US$","14","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23912.02","Coffee extracts","2021","2021","1000 US$","223","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23912.01","Coffee substitutes","2021","2021","1000 US$","272","A","Official figure"
