Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01311","Avocados","2021","2021","tonnes","5950.33","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01312","Bananas","2021","2021","tonnes","2143866","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0115","Barley","2021","2021","tonnes","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01701","Beans, dry","2021","2021","tonnes","491976","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01212","Cabbages","2021","2021","tonnes","62527.33","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01251","Carrots and turnips","2021","2021","tonnes","45588.88","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01520.01","Cassava, fresh","2021","2021","tonnes","1319875","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","tonnes","4508.36","I","Imputed value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01610","Coffee, green","2021","2021","tonnes","19466.88","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01233","Eggplants (aubergines)","2021","2021","tonnes","94291.64","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0142","Groundnuts, excluding shelled","2021","2021","tonnes","17076","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01254","Leeks and other alliaceous vegetables","2021","2021","tonnes","2562.3","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01322","Lemons and limes","2021","2021","tonnes","7171.81","I","Imputed value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2021","2021","tonnes","482682","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01316","Mangoes, guavas and mangosteens","2021","2021","tonnes","1870.48","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0118","Millet","2021","2021","tonnes","5073.28","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","tonnes","37238.72","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01323","Oranges","2021","2021","tonnes","2459.12","I","Imputed value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01241.90","Other beans, green","2021","2021","tonnes","7291.56","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01359.90","Other fruits, n.e.c.","2021","2021","tonnes","81493.67","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","tonnes","134.92","I","Imputed value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01319","Other tropical fruits, n.e.c.","2021","2021","tonnes","24682.3","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2021","2021","tonnes","73091.65","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01317","Papayas","2021","2021","tonnes","1307.82","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01705","Peas, dry","2021","2021","tonnes","15635","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01651","Pepper (Piper spp.), raw","2021","2021","tonnes","2319.62","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01318","Pineapples","2021","2021","tonnes","20786.92","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01313","Plantains and cooking bananas","2021","2021","tonnes","907640","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01510","Potatoes","2021","2021","tonnes","938281","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01235","Pumpkins, squash and gourds","2021","2021","tonnes","261995.82","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01930.02","Pyrethrum, dried flowers","2021","2021","tonnes","1494.24","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01443","Rape or colza seed","2021","2021","tonnes","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0113","Rice","2021","2021","tonnes","131758","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01921.01","Seed cotton, unginned","2021","2021","tonnes","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0114","Sorghum","2021","2021","tonnes","178370","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0141","Soya beans","2021","2021","tonnes","26857","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01802","Sugar cane","2021","2021","tonnes","97990.8","E","Estimated value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01530","Sweet potatoes","2021","2021","tonnes","1328750","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01550","Taro","2021","2021","tonnes","200856","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01620","Tea leaves","2021","2021","tonnes","149627.41","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01234","Tomatoes","2021","2021","tonnes","93586.87","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01970","Unmanufactured tobacco","2021","2021","tonnes","5008.44","I","Imputed value"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0111","Wheat","2021","2021","tonnes","13684","A","Official figure"
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01540","Yams","2021","2021","tonnes","63770.81","I","Imputed value"
