Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01311","Avocados","2021","2021","1000 US$","1857","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01312","Bananas","2021","2021","1000 US$","1463867","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01701","Beans, dry","2021","2021","1000 US$","275911","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01212","Cabbages","2021","2021","1000 US$","11385","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01251","Carrots and turnips","2021","2021","1000 US$","19885","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2021","2021","1000 US$","402223","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 US$","3147","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2021","2021","1000 US$","11996","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01233","Eggplants (aubergines)","2021","2021","1000 US$","35973","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","0142","Groundnuts, excluding shelled","2021","2021","1000 US$","24028","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","0231","Hen eggs in shell, fresh","2021","2021","1000 US$","24566","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01322","Lemons and limes","2021","2021","1000 US$","5783","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2021","2021","1000 US$","168815","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01316","Mangoes, guavas and mangosteens","2021","2021","1000 US$","1672","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 US$","93455","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01i","Meat of cattle with the bone, fresh or chilled (indigenous)","2021","2021","1000 US$","93455","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21121","Meat of chickens, fresh or chilled","2021","2021","1000 US$","107957","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21121i","Meat of chickens, fresh or chilled (indigenous)","2021","2021","1000 US$","107957","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21116","Meat of goat, fresh or chilled","2021","2021","1000 US$","37288","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21116i","Meat of goat, fresh or chilled (indigenous)","2021","2021","1000 US$","37288","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","1000 US$","30845","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21113.01i","Meat of pig with the bone, fresh or chilled (indigenous)","2021","2021","1000 US$","30845","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21114","Meat of rabbits and hares, fresh or chilled","2021","2021","1000 US$","3379","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21114i","Meat of rabbits and hares, fresh or chilled (indigenous)","2021","2021","1000 US$","3379","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21115","Meat of sheep, fresh or chilled","2021","2021","1000 US$","10893","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","21115i","Meat of sheep, fresh or chilled (indigenous)","2021","2021","1000 US$","10893","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","02910","Natural honey","2021","2021","1000 US$","26673","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","1000 US$","26488","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01323","Oranges","2021","2021","1000 US$","2006","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01241.90","Other beans, green","2021","2021","1000 US$","6239","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01359.90","Other fruits, n.e.c.","2021","2021","1000 US$","21167","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","1000 US$","24","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01317","Papayas","2021","2021","1000 US$","771","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01705","Peas, dry","2021","2021","1000 US$","24303","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01318","Pineapples","2021","2021","1000 US$","7196","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01313","Plantains and cooking bananas","2021","2021","1000 US$","203786","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2021","2021","1000 US$","261820","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01235","Pumpkins, squash and gourds","2021","2021","1000 US$","105375","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01930.02","Pyrethrum, dried flowers","2021","2021","1000 US$","282","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","02211","Raw milk of cattle","2021","2021","1000 US$","107832","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2021","2021","1000 US$","116528","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","0114","Sorghum","2021","2021","1000 US$","79065","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2021","2021","1000 US$","17391","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2021","2021","1000 US$","5883","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01530","Sweet potatoes","2021","2021","1000 US$","285022","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01550","Taro","2021","2021","1000 US$","73436","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01620","Tea leaves","2021","2021","1000 US$","26290","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01234","Tomatoes","2021","2021","1000 US$","49527","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01970","Unmanufactured tobacco","2021","2021","1000 US$","2733","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2021","2021","1000 US$","8997","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01540","Yams","2021","2021","1000 US$","22993","E","Estimated value"
