Unnamed: 0,lat,lon,time,cloud cover mean,cloud-cover_monthly-mean_ipsl-cm5a-mr_rcp85_r1i1p1_1950-2100-mean_v1.0,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
14,-1.25,30.25,2015-01-01,0.75068766,0.723967,3.1686703e-08,25.4341,15.966940000000022,20.251800000000003,997.7192
1116,-1.25,30.25,2015-02-01,0.7948909,0.7221373,6.3866885e-08,26.150750000000016,16.35647,20.64022,1010.38446
1573,-1.25,30.25,2015-03-01,0.8140571,0.77764124,4.3142798e-08,26.075860000000034,16.128660000000025,20.327800000000025,1013.76996
1775,-1.25,30.25,2015-04-01,0.83630925,0.8168222,5.709209e-08,25.08500000000004,16.079830000000015,20.105520000000013,1022.14166
2618,-1.25,30.25,2015-05-01,0.66007304,0.7229852,2.2504583e-08,25.03866000000005,16.237180000000023,20.262380000000007,1014.07227
3174,-1.25,30.25,2015-06-01,0.6668057,0.64537853,6.1605316e-09,25.951700000000017,15.869560000000035,20.877700000000004,958.97864
3667,-1.25,30.25,2015-07-01,0.60125595,0.60261154,1.4318784e-09,26.48610000000002,15.610100000000044,21.18040000000002,888.7682
4239,-1.25,30.25,2015-08-01,0.665681,0.65741134,2.7644692e-08,26.48947000000004,16.28143,20.96255000000002,962.6652
5070,-1.25,30.25,2015-09-01,0.68069494,0.68049824,3.9981753e-08,25.824760000000023,16.27334000000002,20.7448,996.5981
5235,-1.25,30.25,2015-10-01,0.8090418,0.79820377,4.8094567e-08,25.275800000000004,15.484740000000045,19.88040000000001,1024.8624
5943,-1.25,30.25,2015-11-01,0.83588356,0.7974458,4.750811e-08,24.1112,15.28164000000004,19.58148,1026.586
6445,-1.25,30.25,2015-12-01,0.70591855,0.7326149,2.424661e-08,24.730650000000026,15.334680000000048,20.181600000000003,1016.02136
7400,-1.25,30.25,2016-01-01,0.73126763,0.7233009,8.607072e-09,25.85705000000001,15.600600000000044,20.56097,992.42096
7634,-1.25,30.25,2016-02-01,0.77235025,0.7230473,3.562647e-08,26.53173000000004,16.343440000000044,20.79690000000005,1006.2823
8480,-1.25,30.25,2016-03-01,0.80394834,0.7779392,6.617618e-08,25.91738000000004,16.11993000000001,20.19640000000004,1029.5027
9191,-1.25,30.25,2016-04-01,0.8363013,0.81927884,5.09399e-08,25.342280000000017,16.388480000000015,20.26144000000005,1052.0962
9631,-1.25,30.25,2016-05-01,0.746394,0.725793,2.3952023e-08,25.183370000000025,15.95580000000001,20.58227000000005,1012.1185
9938,-1.25,30.25,2016-06-01,0.66129845,0.64109224,1.8251225e-08,25.820700000000045,15.72344000000004,20.52908000000002,966.0338
10403,-1.25,30.25,2016-07-01,0.5969465,0.6003523,3.4933139e-09,26.158650000000023,15.110220000000028,20.33438000000001,891.1968
11495,-1.25,30.25,2016-08-01,0.64277965,0.64787847,1.965305e-08,26.43688000000003,16.69073000000003,21.067440000000037,951.46576
11600,-1.25,30.25,2016-09-01,0.6524247,0.6836551,3.172949e-08,25.904260000000026,16.19810000000001,21.300040000000024,989.67114
12548,-1.25,30.25,2016-10-01,0.7642403,0.7970351,3.9042366e-08,25.64688000000001,15.549500000000023,20.106300000000036,1000.7667
13117,-1.25,30.25,2016-11-01,0.7955131,0.7968369,3.150545e-08,24.664450000000045,15.33883000000003,19.5933,1027.1764
13442,-1.25,30.25,2016-12-01,0.743302,0.7283525,7.713394e-08,25.228480000000047,15.369500000000016,19.258970000000037,1013.5918
14206,-1.25,30.25,2017-01-01,0.71744287,0.72760755,2.4791722e-08,25.86352000000005,15.67312000000004,20.5197,986.4862
14575,-1.25,30.25,2017-02-01,0.7193865,0.72618693,3.0378864e-08,26.47442000000001,16.442930000000047,20.71478000000002,994.8173
15397,-1.25,30.25,2017-03-01,0.68248343,0.7762408,3.4693084e-08,26.373040000000003,16.00120000000004,21.036500000000046,1012.32904
15690,-1.25,30.25,2017-04-01,0.81191933,0.8157348,5.518252e-08,25.240300000000047,15.875050000000044,20.23013000000003,1046.4829
16217,-1.25,30.25,2017-05-01,0.68054456,0.7257119,2.1446615e-08,25.18185,16.323900000000037,20.57140000000004,1009.3624
16741,-1.25,30.25,2017-06-01,0.6392079,0.6389912,1.0114519e-08,26.114980000000003,16.177850000000035,21.10275000000001,970.2487
17470,-1.25,30.25,2017-07-01,0.54089147,0.5978727,4.37589e-09,26.44622000000004,15.71078,21.12798000000004,896.5513
17888,-1.25,30.25,2017-08-01,0.63990104,0.6517197,2.0470317e-08,26.6259,15.048500000000049,20.489000000000036,935.8703
18865,-1.25,30.25,2017-09-01,0.7103662,0.6819903,3.7189928e-08,26.410330000000044,15.034880000000044,20.137500000000045,985.03265
19512,-1.25,30.25,2017-10-01,0.7929012,0.7980664,4.3276142e-08,25.729030000000023,15.82850000000002,20.531600000000022,1017.52563
19893,-1.25,30.25,2017-11-01,0.7576094,0.79279363,2.8377094e-08,24.851980000000022,15.315240000000015,19.741600000000005,1028.1973
20377,-1.25,30.25,2017-12-01,0.71005094,0.72949034,1.792668e-08,25.33297000000005,15.361000000000049,20.28400000000005,1007.88354
21037,-1.25,30.25,2018-01-01,0.7166576,0.7244413,3.259327e-08,25.87805000000003,15.91506000000004,20.59384,999.07245
21386,-1.25,30.25,2018-02-01,0.68760294,0.72399616,2.8865864e-08,26.21346,16.341060000000027,21.116540000000043,992.9831
22355,-1.25,30.25,2018-03-01,0.7674051,0.77502936,4.50798e-08,25.91717,16.646450000000016,20.80950000000001,1028.9412
22575,-1.25,30.25,2018-04-01,0.82220054,0.8155316,2.9760795e-08,25.160270000000025,16.236260000000016,20.695520000000045,1040.7688
23276,-1.25,30.25,2018-05-01,0.70551777,0.72749805,2.0943904e-08,25.40753000000001,16.11318,20.5453,1010.69275
23581,-1.25,30.25,2018-06-01,0.5770395,0.6383824,3.6599328e-09,26.20858000000004,15.873379999999996,20.92843000000005,944.4055
24603,-1.25,30.25,2018-07-01,0.6197491,0.59501386,9.711066e-09,26.82342,15.564260000000049,20.991540000000043,926.7405
24798,-1.25,30.25,2018-08-01,0.65486604,0.6536762,2.8851606e-09,27.0068,17.13384000000002,22.39462000000003,915.9183
25311,-1.25,30.25,2018-09-01,0.6790429,0.6789604,1.8524563e-08,27.302760000000035,16.083830000000034,21.23025000000001,993.7225
26133,-1.25,30.25,2018-10-01,0.7656647,0.79677886,4.6156988e-08,26.741100000000017,15.540030000000002,20.23156,1007.7626
26713,-1.25,30.25,2018-11-01,0.74241513,0.79412836,3.720534e-08,25.306820000000016,15.591940000000022,19.80978000000005,1020.6467
27347,-1.25,30.25,2018-12-01,0.74852496,0.73155135,3.2966014e-08,25.318700000000035,15.29006000000004,20.01138000000003,1023.82117
27674,-1.25,30.25,2019-01-01,0.7081446,0.72475153,2.1969777e-08,25.90225000000004,15.571200000000031,20.56588000000005,1000.5705
28284,-1.25,30.25,2019-02-01,0.73774606,0.72975546,2.9359553e-08,26.83630000000005,16.369470000000035,21.15634,1004.3289
29007,-1.25,30.25,2019-03-01,0.7058749,0.777482,3.57385e-08,26.76705000000004,16.196799999999996,21.37744000000004,1020.34515
29826,-1.25,30.25,2019-04-01,0.80149263,0.815422,3.7036617e-08,25.72192000000001,16.277500000000032,20.66058000000004,1057.7585
30219,-1.25,30.25,2019-05-01,0.7226236,0.7243978,4.3575255e-08,25.32730000000004,16.453820000000007,20.28298000000001,1030.0126
31042,-1.25,30.25,2019-06-01,0.5530106,0.6376223,3.7180392e-10,25.58090000000004,15.8399,20.45610000000005,908.19543
31333,-1.25,30.25,2019-07-01,0.575145,0.59803486,0.0,26.35037,15.721640000000036,20.920280000000048,847.8518
31758,-1.25,30.25,2019-08-01,0.68407,0.65195507,2.5703198e-08,26.488820000000032,15.57928000000004,20.615200000000016,976.6959
32607,-1.25,30.25,2019-09-01,0.6127738,0.67579633,2.796796e-08,26.187900000000013,15.843200000000024,20.763760000000048,983.2662
32805,-1.25,30.25,2019-10-01,0.86431366,0.798296,8.369278e-08,25.19490000000002,15.999840000000006,19.750050000000044,1028.6097
33367,-1.25,30.25,2019-11-01,0.818307,0.7928396,4.9399247e-08,24.26750000000004,14.897500000000036,19.41354000000001,1024.8221
34307,-1.25,30.25,2019-12-01,0.71712554,0.73198575,2.6831422e-08,24.74215000000004,15.149200000000008,19.80430000000001,1011.73865
34690,-1.25,30.25,2020-01-01,0.7717775,0.72053707,3.7090857e-08,25.921170000000014,16.05737000000005,20.57913000000002,1017.9222
35153,-1.25,30.25,2020-02-01,0.683874,0.727778,3.2855112e-08,26.049770000000024,16.185450000000003,20.84590000000003,1010.81085
35883,-1.25,30.25,2020-03-01,0.78380495,0.772925,5.7404705e-08,26.097740000000044,16.64190000000002,20.639700000000005,1049.8123
36471,-1.25,30.25,2020-04-01,0.8180438,0.81206894,5.9213843e-08,25.30590000000001,15.931100000000017,19.884900000000016,1038.7498
37331,-1.25,30.25,2020-05-01,0.6941402,0.7256764,2.56364e-08,24.888450000000034,16.09435000000002,20.04406,1034.865
37572,-1.25,30.25,2020-06-01,0.54882264,0.639268,5.620903e-09,25.72332,15.953200000000038,20.407039999999995,943.5381
